Category,Resume_str
Cybersecurity,"Experienced Security Analyst with 4+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. Security Analyst at CrowdStrike (2019–2020): Led initiatives involving ethical hacking, CEH, and zero trust. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging network security and vulnerability assessment. Junior Security Analyst at Palo Alto Networks (2020–2023): Worked on projects using GDPR compliance, OWASP, and cryptography. Contributed to team goals and supported senior staff with penetration testing tasks. Technical Skills: ethical hacking, CEH, zero trust, network security, vulnerability assessment, GDPR compliance, OWASP, cryptography, penetration testing, incident response Education: B.S. in Cybersecurity from George Mason. Certifications: Completed relevant professional development in incident response and incident response."
DevOps,"Experienced Infrastructure Engineer with 5+ years of hands-on experience in the DevOps domain. Passionate about delivering impactful results and working in cross-functional teams. Infrastructure Engineer at Cloudflare (2016–2018): Led initiatives involving site reliability engineering, Docker, and Helm. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Kubernetes and Prometheus. Junior Infrastructure Engineer at Datadog (2018–2021): Worked on projects using AWS, Terraform, and infrastructure as code. Contributed to team goals and supported senior staff with Linux tasks. Technical Skills: site reliability engineering, Docker, Helm, Kubernetes, Prometheus, AWS, Terraform, infrastructure as code, Linux, ELK Stack Education: B.S. in Information Technology from RIT. Certifications: Completed relevant professional development in Terraform and Linux."
Data Science,"Experienced ML Engineer with 6+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. ML Engineer at DeepMind (2020–2023): Led initiatives involving TensorFlow, PyTorch, and deep learning. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging A/B testing and scikit-learn. Junior ML Engineer at Meta (2023–2026): Worked on projects using Jupyter, statistical modeling, and NumPy. Contributed to team goals and supported senior staff with machine learning tasks. Technical Skills: TensorFlow, PyTorch, deep learning, A/B testing, scikit-learn, Jupyter, statistical modeling, NumPy, machine learning, Tableau Education: B.S. in Statistics from UC Berkeley. Certifications: Completed relevant professional development in PyTorch and machine learning."
Marketing,"Experienced Digital Marketing Specialist with 2+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. Digital Marketing Specialist at Publicis (2018–2019): Led initiatives involving SEO, influencer marketing, and conversion optimization. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging campaign management and Facebook Ads. Junior Digital Marketing Specialist at Ogilvy (2019–2020): Worked on projects using marketing automation, A/B testing, and email marketing. Contributed to team goals and supported senior staff with Google Analytics tasks. Technical Skills: SEO, influencer marketing, conversion optimization, campaign management, Facebook Ads, marketing automation, A/B testing, email marketing, Google Analytics, brand strategy Education: MBA from Kellogg School of Management. Certifications: Completed relevant professional development in email marketing and SEO."
Data Science,"Experienced Data Scientist with 7+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. Data Scientist at Google (2016–2019): Led initiatives involving deep learning, computer vision, and Jupyter. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Tableau and SQL. Junior Data Scientist at Uber (2019–2023): Worked on projects using TensorFlow, R, and statistical modeling. Contributed to team goals and supported senior staff with scikit-learn tasks. Technical Skills: deep learning, computer vision, Jupyter, Tableau, SQL, TensorFlow, R, statistical modeling, scikit-learn, A/B testing Education: Ph.D. in Machine Learning from MIT. Certifications: Completed relevant professional development in SQL and statistical modeling."
Finance,"Experienced Risk Analyst with 6+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. Risk Analyst at Two Sigma (2018–2020): Led initiatives involving investment banking, equity research, and fixed income. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging CFA and risk management. Junior Risk Analyst at Goldman Sachs (2020–2024): Worked on projects using SQL, financial modeling, and forecasting. Contributed to team goals and supported senior staff with M&A tasks. Technical Skills: investment banking, equity research, fixed income, CFA, risk management, SQL, financial modeling, forecasting, M&A, Excel Education: B.S. in Finance from Wharton. Certifications: Completed relevant professional development in fixed income and fixed income."
DevOps,"Experienced DevOps Engineer with 6+ years of hands-on experience in the DevOps domain. Passionate about delivering impactful results and working in cross-functional teams. DevOps Engineer at Fastly (2018–2021): Led initiatives involving infrastructure as code, site reliability engineering, and Terraform. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Bash scripting and Linux. Junior DevOps Engineer at Cloudflare (2021–2024): Worked on projects using Azure, Grafana, and ELK Stack. Contributed to team goals and supported senior staff with AWS tasks. Technical Skills: infrastructure as code, site reliability engineering, Terraform, Bash scripting, Linux, Azure, Grafana, ELK Stack, AWS, GCP Education: B.S. in Computer Science from University of Washington. Certifications: Completed relevant professional development in Azure and Bash scripting."
Software Engineer,"Experienced Senior SWE with 6+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Senior SWE at Twilio (2018–2021): Led initiatives involving Linux, Node.js, and gRPC. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Git and AWS. Junior Senior SWE at Atlassian (2021–2024): Worked on projects using REST APIs, CI/CD, and Go. Contributed to team goals and supported senior staff with Python tasks. Technical Skills: Linux, Node.js, gRPC, Git, AWS, REST APIs, CI/CD, Go, Python, PostgreSQL Education: B.S. in Computer Engineering from UT Austin. Certifications: Completed relevant professional development in AWS and gRPC."
Software Engineer,"Experienced Full Stack Engineer with 6+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Full Stack Engineer at GitHub (2015–2020): Led initiatives involving AWS, Python, and CI/CD. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging gRPC and Linux. Junior Full Stack Engineer at Twilio (2020–2021): Worked on projects using system design, Redis, and Kubernetes. Contributed to team goals and supported senior staff with Node.js tasks. Technical Skills: AWS, Python, CI/CD, gRPC, Linux, system design, Redis, Kubernetes, Node.js, Go Education: B.S. in Computer Engineering from UT Austin. Certifications: Completed relevant professional development in gRPC and Node.js."
Cybersecurity,"Experienced Threat Analyst with 3+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. Threat Analyst at Fortinet (2017–2019): Led initiatives involving incident response, OWASP, and vulnerability assessment. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging ethical hacking and IAM. Junior Threat Analyst at Symantec (2019–2020): Worked on projects using malware analysis, zero trust, and penetration testing. Contributed to team goals and supported senior staff with network security tasks. Technical Skills: incident response, OWASP, vulnerability assessment, ethical hacking, IAM, malware analysis, zero trust, penetration testing, network security, CISSP Education: CEH Certified. Certifications: Completed relevant professional development in ethical hacking and IAM."
Product Management,"Experienced Director of Product with 6+ years of hands-on experience in the Product Management domain. Passionate about delivering impactful results and working in cross-functional teams. Director of Product at Productboard (2020–2022): Led initiatives involving prioritization frameworks, user research, and go-to-market strategy. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging sprint planning and Scrum. Junior Director of Product at Notion (2022–2026): Worked on projects using Mixpanel, customer discovery, and wireframing. Contributed to team goals and supported senior staff with competitive analysis tasks. Technical Skills: prioritization frameworks, user research, go-to-market strategy, sprint planning, Scrum, Mixpanel, customer discovery, wireframing, competitive analysis, OKRs Education: MBA from Stanford GSB. Certifications: Completed relevant professional development in sprint planning and OKRs."
Software Engineer,"Experienced Full Stack Engineer with 8+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Full Stack Engineer at Shopify (2018–2022): Led initiatives involving REST APIs, Redis, and Docker. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging gRPC and Python. Junior Full Stack Engineer at GitHub (2022–2026): Worked on projects using Terraform, Linux, and C++. Contributed to team goals and supported senior staff with Git tasks. Technical Skills: REST APIs, Redis, Docker, gRPC, Python, Terraform, Linux, C++, Git, React Education: B.S. in Computer Science from Georgia Tech. Certifications: Completed relevant professional development in gRPC and C++."
DevOps,"Experienced Platform Engineer with 6+ years of hands-on experience in the DevOps domain. Passionate about delivering impactful results and working in cross-functional teams. Platform Engineer at Cloudflare (2020–2023): Led initiatives involving CI/CD pipelines, site reliability engineering, and Bash scripting. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging AWS and GitOps. Junior Platform Engineer at Fastly (2023–2026): Worked on projects using Helm, Jenkins, and Linux. Contributed to team goals and supported senior staff with Azure tasks. Technical Skills: CI/CD pipelines, site reliability engineering, Bash scripting, AWS, GitOps, Helm, Jenkins, Linux, Azure, Terraform Education: B.S. in Computer Science from University of Washington. Certifications: Completed relevant professional development in Azure and GitOps."
Cybersecurity,"Experienced Penetration Tester with 6+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. Penetration Tester at Fortinet (2020–2022): Led initiatives involving zero trust, SIEM, and cloud security. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging IAM and SOC. Junior Penetration Tester at Symantec (2022–2026): Worked on projects using penetration testing, firewalls, and NIST. Contributed to team goals and supported senior staff with vulnerability assessment tasks. Technical Skills: zero trust, SIEM, cloud security, IAM, SOC, penetration testing, firewalls, NIST, vulnerability assessment, ethical hacking Education: M.S. in Information Security from Carnegie Mellon. Certifications: Completed relevant professional development in firewalls and firewalls."
Software Engineer,"Experienced Backend Developer with 2+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Backend Developer at Microsoft (2019–2020): Led initiatives involving C++, CI/CD, and React. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging AWS and Terraform. Junior Backend Developer at Apple (2020–2021): Worked on projects using microservices, Git, and Go. Contributed to team goals and supported senior staff with Linux tasks. Technical Skills: C++, CI/CD, React, AWS, Terraform, microservices, Git, Go, Linux, Java Education: B.S. in Computer Engineering from UT Austin. Certifications: Completed relevant professional development in Terraform and Linux."
Healthcare,"Experienced Registered Nurse with 5+ years of hands-on experience in the Healthcare domain. Passionate about delivering impactful results and working in cross-functional teams. Registered Nurse at UnitedHealth (2018–2022): Led initiatives involving HIPAA compliance, Epic, and public health. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging diagnostic imaging and ACLS. Junior Registered Nurse at Pfizer (2022–2023): Worked on projects using CPT coding, pharmacology, and ICD-10. Contributed to team goals and supported senior staff with nursing tasks. Technical Skills: HIPAA compliance, Epic, public health, diagnostic imaging, ACLS, CPT coding, pharmacology, ICD-10, nursing, BLS Education: B.S. in Healthcare Administration from Ohio State. Certifications: Completed relevant professional development in diagnostic imaging and public health."
Marketing,"Experienced Brand Manager with 4+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. Brand Manager at HubSpot (2019–2021): Led initiatives involving paid media, Facebook Ads, and CRM. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging social media management and Google Analytics. Junior Brand Manager at Nike (2021–2023): Worked on projects using conversion optimization, market research, and Salesforce. Contributed to team goals and supported senior staff with brand strategy tasks. Technical Skills: paid media, Facebook Ads, CRM, social media management, Google Analytics, conversion optimization, market research, Salesforce, brand strategy, email marketing Education: B.A. in Marketing from NYU. Certifications: Completed relevant professional development in brand strategy and Google Analytics."
Healthcare,"Experienced Registered Nurse with 6+ years of hands-on experience in the Healthcare domain. Passionate about delivering impactful results and working in cross-functional teams. Registered Nurse at Mayo Clinic (2017–2019): Led initiatives involving BLS, EMR, and surgical assistance. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging nursing and public health. Junior Registered Nurse at Johnson & Johnson (2019–2023): Worked on projects using medical coding, HIPAA compliance, and pharmacology. Contributed to team goals and supported senior staff with care coordination tasks. Technical Skills: BLS, EMR, surgical assistance, nursing, public health, medical coding, HIPAA compliance, pharmacology, care coordination, diagnostic imaging Education: M.P.H. from Harvard T.H. Chan School. Certifications: Completed relevant professional development in medical coding and HIPAA compliance."
Marketing,"Experienced Digital Marketing Specialist with 9+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. Digital Marketing Specialist at Publicis (2015–2020): Led initiatives involving Google Analytics, campaign management, and influencer marketing. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging brand strategy and paid media. Junior Digital Marketing Specialist at Unilever (2020–2024): Worked on projects using social media management, Salesforce, and market research. Contributed to team goals and supported senior staff with content strategy tasks. Technical Skills: Google Analytics, campaign management, influencer marketing, brand strategy, paid media, social media management, Salesforce, market research, content strategy, conversion optimization Education: B.A. in Marketing from NYU. Certifications: Completed relevant professional development in campaign management and social media management."
Cybersecurity,"Experienced CISO with 7+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. CISO at FireEye (2015–2018): Led initiatives involving CEH, cryptography, and NIST. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging SOC and CISSP. Junior CISO at Palo Alto Networks (2018–2022): Worked on projects using vulnerability assessment, SIEM, and zero trust. Contributed to team goals and supported senior staff with malware analysis tasks. Technical Skills: CEH, cryptography, NIST, SOC, CISSP, vulnerability assessment, SIEM, zero trust, malware analysis, IAM Education: M.S. in Information Security from Carnegie Mellon. Certifications: Completed relevant professional development in SOC and malware analysis."
Product Management,"Experienced Senior PM with 5+ years of hands-on experience in the Product Management domain. Passionate about delivering impactful results and working in cross-functional teams. Senior PM at Productboard (2020–2024): Led initiatives involving user research, stakeholder management, and Agile. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging customer discovery and go-to-market strategy. Junior Senior PM at Google (2024–2025): Worked on projects using prioritization frameworks, JIRA, and Scrum. Contributed to team goals and supported senior staff with A/B testing tasks. Technical Skills: user research, stakeholder management, Agile, customer discovery, go-to-market strategy, prioritization frameworks, JIRA, Scrum, A/B testing, Mixpanel Education: MBA from Stanford GSB. Certifications: Completed relevant professional development in JIRA and customer discovery."
Cybersecurity,"Experienced Security Analyst with 3+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. Security Analyst at Palo Alto Networks (2017–2018): Led initiatives involving cryptography, SOC, and OWASP. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging forensics and IAM. Junior Security Analyst at Okta (2018–2020): Worked on projects using malware analysis, SIEM, and CISSP. Contributed to team goals and supported senior staff with network security tasks. Technical Skills: cryptography, SOC, OWASP, forensics, IAM, malware analysis, SIEM, CISSP, network security, vulnerability assessment Education: M.S. in Information Security from Carnegie Mellon. Certifications: Completed relevant professional development in forensics and IAM."
Healthcare,"Experienced Healthcare Administrator with 5+ years of hands-on experience in the Healthcare domain. Passionate about delivering impactful results and working in cross-functional teams. Healthcare Administrator at Cleveland Clinic (2020–2021): Led initiatives involving ICD-10, infection control, and telemedicine. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging care coordination and ACLS. Junior Healthcare Administrator at Kaiser Permanente (2021–2025): Worked on projects using Epic, BLS, and nursing. Contributed to team goals and supported senior staff with patient care tasks. Technical Skills: ICD-10, infection control, telemedicine, care coordination, ACLS, Epic, BLS, nursing, patient care, pharmacology Education: M.P.H. from Harvard T.H. Chan School. Certifications: Completed relevant professional development in patient care and telemedicine."
DevOps,"Experienced Cloud Engineer with 7+ years of hands-on experience in the DevOps domain. Passionate about delivering impactful results and working in cross-functional teams. Cloud Engineer at Cloudflare (2019–2022): Led initiatives involving GCP, infrastructure as code, and Azure. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Grafana and Kubernetes. Junior Cloud Engineer at Red Hat (2022–2026): Worked on projects using site reliability engineering, Helm, and GitOps. Contributed to team goals and supported senior staff with Docker tasks. Technical Skills: GCP, infrastructure as code, Azure, Grafana, Kubernetes, site reliability engineering, Helm, GitOps, Docker, Terraform Education: AWS Certified Solutions Architect. Certifications: Completed relevant professional development in Azure and Grafana."
Marketing,"Experienced CMO with 5+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. CMO at Ogilvy (2018–2019): Led initiatives involving Facebook Ads, copywriting, and CRM. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging paid media and Salesforce. Junior CMO at HubSpot (2019–2023): Worked on projects using Google Analytics, HubSpot, and digital marketing. Contributed to team goals and supported senior staff with brand strategy tasks. Technical Skills: Facebook Ads, copywriting, CRM, paid media, Salesforce, Google Analytics, HubSpot, digital marketing, brand strategy, market research Education: MBA from Kellogg School of Management. Certifications: Completed relevant professional development in HubSpot and brand strategy."
DevOps,"Experienced Infrastructure Engineer with 5+ years of hands-on experience in the DevOps domain. Passionate about delivering impactful results and working in cross-functional teams. Infrastructure Engineer at PagerDuty (2019–2020): Led initiatives involving Nginx, monitoring and alerting, and Grafana. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Ansible and Azure. Junior Infrastructure Engineer at HashiCorp (2020–2024): Worked on projects using AWS, Bash scripting, and Kubernetes. Contributed to team goals and supported senior staff with ELK Stack tasks. Technical Skills: Nginx, monitoring and alerting, Grafana, Ansible, Azure, AWS, Bash scripting, Kubernetes, ELK Stack, Prometheus Education: AWS Certified Solutions Architect. Certifications: Completed relevant professional development in ELK Stack and Ansible."
Software Engineer,"Experienced Software Engineer with 7+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Software Engineer at Salesforce (2018–2022): Led initiatives involving Linux, Docker, and Go. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging system design and CI/CD. Junior Software Engineer at Stripe (2022–2025): Worked on projects using Kubernetes, REST APIs, and Agile. Contributed to team goals and supported senior staff with Python tasks. Technical Skills: Linux, Docker, Go, system design, CI/CD, Kubernetes, REST APIs, Agile, Python, React Education: B.S. in Computer Engineering from UT Austin. Certifications: Completed relevant professional development in Kubernetes and CI/CD."
Cybersecurity,"Experienced Security Engineer with 7+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. Security Engineer at Fortinet (2016–2020): Led initiatives involving cloud security, penetration testing, and incident response. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging network security and zero trust. Junior Security Engineer at CrowdStrike (2020–2023): Worked on projects using cryptography, malware analysis, and IAM. Contributed to team goals and supported senior staff with NIST tasks. Technical Skills: cloud security, penetration testing, incident response, network security, zero trust, cryptography, malware analysis, IAM, NIST, CISSP Education: M.S. in Information Security from Carnegie Mellon. Certifications: Completed relevant professional development in penetration testing and malware analysis."
Human Resources,"Experienced CHRO with 7+ years of hands-on experience in the Human Resources domain. Passionate about delivering impactful results and working in cross-functional teams. CHRO at Deloitte (2015–2019): Led initiatives involving talent acquisition, HRIS, and ATS. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging training and development and SAP HR. Junior CHRO at Accenture (2019–2022): Worked on projects using performance management, employer branding, and retention strategies. Contributed to team goals and supported senior staff with Workday tasks. Technical Skills: talent acquisition, HRIS, ATS, training and development, SAP HR, performance management, employer branding, retention strategies, Workday, labor law Education: B.S. in Human Resources from Michigan State. Certifications: Completed relevant professional development in Workday and ATS."
Finance,"Experienced Portfolio Manager with 3+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. Portfolio Manager at Two Sigma (2018–2020): Led initiatives involving financial modeling, investment banking, and risk management. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging derivatives and credit analysis. Junior Portfolio Manager at Goldman Sachs (2020–2021): Worked on projects using financial reporting, valuation, and fixed income. Contributed to team goals and supported senior staff with M&A tasks. Technical Skills: financial modeling, investment banking, risk management, derivatives, credit analysis, financial reporting, valuation, fixed income, M&A, SQL Education: B.S. in Finance from Wharton. Certifications: Completed relevant professional development in credit analysis and derivatives."
Cybersecurity,"Experienced CISO with 5+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. CISO at Symantec (2018–2020): Led initiatives involving NIST, vulnerability assessment, and network security. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging OWASP and firewalls. Junior CISO at SentinelOne (2020–2023): Worked on projects using ethical hacking, SOC, and malware analysis. Contributed to team goals and supported senior staff with forensics tasks. Technical Skills: NIST, vulnerability assessment, network security, OWASP, firewalls, ethical hacking, SOC, malware analysis, forensics, GDPR compliance Education: CEH Certified. Certifications: Completed relevant professional development in forensics and malware analysis."
Product Management,"Experienced Senior PM with 4+ years of hands-on experience in the Product Management domain. Passionate about delivering impactful results and working in cross-functional teams. Senior PM at Google (2019–2021): Led initiatives involving A/B testing, product roadmap, and Amplitude. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging stakeholder management and Agile. Junior Senior PM at Figma (2021–2023): Worked on projects using SQL, Scrum, and competitive analysis. Contributed to team goals and supported senior staff with product metrics tasks. Technical Skills: A/B testing, product roadmap, Amplitude, stakeholder management, Agile, SQL, Scrum, competitive analysis, product metrics, OKRs Education: B.S. in Computer Science from Cornell. Certifications: Completed relevant professional development in product metrics and SQL."
Healthcare,"Experienced Registered Nurse with 7+ years of hands-on experience in the Healthcare domain. Passionate about delivering impactful results and working in cross-functional teams. Registered Nurse at Mayo Clinic (2017–2020): Led initiatives involving public health, EMR, and care coordination. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging pharmacology and patient care. Junior Registered Nurse at Cleveland Clinic (2020–2024): Worked on projects using BLS, HIPAA compliance, and surgical assistance. Contributed to team goals and supported senior staff with ICD-10 tasks. Technical Skills: public health, EMR, care coordination, pharmacology, patient care, BLS, HIPAA compliance, surgical assistance, ICD-10, Epic Education: M.D. from University of Michigan Medical School. Certifications: Completed relevant professional development in ICD-10 and EMR."
Software Engineer,"Experienced Software Engineer with 2+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Software Engineer at GitHub (2018–2019): Led initiatives involving CI/CD, Terraform, and microservices. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging C++ and Agile. Junior Software Engineer at Twilio (2019–2020): Worked on projects using AWS, Java, and system design. Contributed to team goals and supported senior staff with Redis tasks. Technical Skills: CI/CD, Terraform, microservices, C++, Agile, AWS, Java, system design, Redis, Docker Education: M.S. in Software Engineering from Purdue. Certifications: Completed relevant professional development in AWS and system design."
Software Engineer,"Experienced Platform Engineer with 8+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Platform Engineer at GitHub (2019–2023): Led initiatives involving system design, REST APIs, and Terraform. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Docker and Redis. Junior Platform Engineer at Apple (2023–2027): Worked on projects using microservices, Python, and gRPC. Contributed to team goals and supported senior staff with Go tasks. Technical Skills: system design, REST APIs, Terraform, Docker, Redis, microservices, Python, gRPC, Go, Git Education: B.S. in Computer Engineering from UT Austin. Certifications: Completed relevant professional development in microservices and Go."
Software Engineer,"Experienced Full Stack Engineer with 5+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Full Stack Engineer at Apple (2016–2017): Led initiatives involving Kubernetes, Node.js, and Docker. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging AWS and Terraform. Junior Full Stack Engineer at Salesforce (2017–2021): Worked on projects using REST APIs, Go, and Git. Contributed to team goals and supported senior staff with Java tasks. Technical Skills: Kubernetes, Node.js, Docker, AWS, Terraform, REST APIs, Go, Git, Java, C++ Education: B.S. in Computer Science from Georgia Tech. Certifications: Completed relevant professional development in Kubernetes and Git."
DevOps,"Experienced DevOps Engineer with 6+ years of hands-on experience in the DevOps domain. Passionate about delivering impactful results and working in cross-functional teams. DevOps Engineer at Splunk (2017–2020): Led initiatives involving monitoring and alerting, Grafana, and infrastructure as code. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Helm and Linux. Junior DevOps Engineer at Cloudflare (2020–2023): Worked on projects using Kubernetes, Ansible, and ELK Stack. Contributed to team goals and supported senior staff with Nginx tasks. Technical Skills: monitoring and alerting, Grafana, infrastructure as code, Helm, Linux, Kubernetes, Ansible, ELK Stack, Nginx, Terraform Education: B.S. in Information Technology from RIT. Certifications: Completed relevant professional development in Grafana and monitoring and alerting."
Human Resources,"Experienced CHRO with 7+ years of hands-on experience in the Human Resources domain. Passionate about delivering impactful results and working in cross-functional teams. CHRO at ADP (2018–2022): Led initiatives involving HR analytics, workforce planning, and organizational development. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging conflict resolution and ATS. Junior CHRO at Accenture (2022–2025): Worked on projects using compliance, performance management, and employee relations. Contributed to team goals and supported senior staff with onboarding tasks. Technical Skills: HR analytics, workforce planning, organizational development, conflict resolution, ATS, compliance, performance management, employee relations, onboarding, Workday Education: M.S. in Organizational Psychology from Columbia. Certifications: Completed relevant professional development in HR analytics and ATS."
Finance,"Experienced Financial Analyst with 2+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. Financial Analyst at Two Sigma (2019–2020): Led initiatives involving financial reporting, credit analysis, and portfolio management. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Python and DCF analysis. Junior Financial Analyst at Bridgewater (2020–2021): Worked on projects using Bloomberg, SQL, and valuation. Contributed to team goals and supported senior staff with derivatives tasks. Technical Skills: financial reporting, credit analysis, portfolio management, Python, DCF analysis, Bloomberg, SQL, valuation, derivatives, fixed income Education: B.S. in Finance from Wharton. Certifications: Completed relevant professional development in valuation and fixed income."
Software Engineer,"Experienced Platform Engineer with 3+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Platform Engineer at Apple (2016–2017): Led initiatives involving microservices, Java, and REST APIs. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Git and PostgreSQL. Junior Platform Engineer at Twilio (2017–2019): Worked on projects using Terraform, CI/CD, and system design. Contributed to team goals and supported senior staff with React tasks. Technical Skills: microservices, Java, REST APIs, Git, PostgreSQL, Terraform, CI/CD, system design, React, Agile Education: B.S. in Computer Science from Georgia Tech. Certifications: Completed relevant professional development in PostgreSQL and REST APIs."
Cybersecurity,"Experienced CISO with 8+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. CISO at SentinelOne (2015–2019): Led initiatives involving GDPR compliance, forensics, and incident response. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging IAM and CEH. Junior CISO at Symantec (2019–2023): Worked on projects using ethical hacking, OWASP, and CISSP. Contributed to team goals and supported senior staff with firewalls tasks. Technical Skills: GDPR compliance, forensics, incident response, IAM, CEH, ethical hacking, OWASP, CISSP, firewalls, SIEM Education: CISSP Certified. Certifications: Completed relevant professional development in SIEM and GDPR compliance."
Finance,"Experienced CFO with 6+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. CFO at Citadel (2018–2020): Led initiatives involving Bloomberg, credit analysis, and DCF analysis. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging GAAP and investment banking. Junior CFO at Morgan Stanley (2020–2024): Worked on projects using equity research, budgeting, and Excel. Contributed to team goals and supported senior staff with derivatives tasks. Technical Skills: Bloomberg, credit analysis, DCF analysis, GAAP, investment banking, equity research, budgeting, Excel, derivatives, CFA Education: MBA from Harvard Business School. Certifications: Completed relevant professional development in credit analysis and GAAP."
